CHAMBER,LI-8200,,LI-870,LI-8200,LI-8200,CHAMBER,LI-870,CHAMBER
15.858320,99.480000,22472.110000,453.360000,2024/01/29 13:07:39,23,0.343000,0.671640,16.970000
17.218770,99.490000,22836.660000,455.820000,2024/01/29 13:11:30,OC4,0.362000,1.124470,16.500000
17.883600,99.460000,22836.660000,456.190000,2024/01/29 13:12:56,OC4,0.361430,0.857340,16.886670
18.511770,99.450000,22836.660000,457.420000,2024/01/29 13:14:22,OC4,0.362000,0.907150,17.173330
16.483530,99.450000,21914.580000,455.970000,2024/01/29 13:18:31,22,0.378000,0.840170,17.303330
16.744490,99.440000,21914.580000,455.770000,2024/01/29 13:19:56,22,0.378000,0.946520,17.586670
16.818740,99.430000,21914.580000,456.240000,2024/01/29 13:21:22,22,0.378000,1.136930,17.873330
16.999370,99.440000,22043.240000,461.050000,2024/01/29 13:25:14,21,0.283080,1.608580,17.756670
17.106480,99.450000,22043.240000,460.070000,2024/01/29 13:26:39,21,0.395000,1.493930,17.473330
17.118570,99.450000,22043.240000,460.120000,2024/01/29 13:28:04,21,0.395000,1.490070,17.300000
15.982020,99.460000,21399.930000,453.860000,2024/01/29 13:32:01,20,0.392480,0.816520,17.300000
15.386700,99.420000,21399.930000,453.580000,2024/01/29 13:33:27,20,0.392000,0.766630,17.205000
15.084270,99.440000,21399.930000,453.840000,2024/01/29 13:34:53,20,0.391000,0.701200,16.923330
17.331990,99.440000,25838.770000,454.880000,2024/01/29 13:39:20,19,0.211670,0.799770,16.666670
17.188400,99.430000,25838.770000,456.150000,2024/01/29 13:40:46,19,0.253000,0.972180,16.725000
17.243230,99.430000,25838.770000,455.810000,2024/01/29 13:42:11,19,0.255000,0.841320,16.800000
15.903500,99.390000,21828.800000,457.880000,2024/01/29 13:46:24,18,0.325950,1.482290,17.265000
16.467680,99.390000,21828.800000,458.920000,2024/01/29 13:47:49,18,0.368000,1.606960,17.563330
16.494600,99.390000,21828.800000,458.160000,2024/01/29 13:49:14,18,0.368000,1.433830,17.700000
17.790800,99.350000,25409.900000,452.970000,2024/01/29 14:34:33,7,0.268100,0.707640,17.510000
18.683260,99.360000,25409.900000,453.310000,2024/01/29 14:35:59,7,0.269520,0.756140,17.845000
17.949950,99.370000,25409.900000,452.900000,2024/01/29 14:37:26,7,0.271750,0.774550,18.000000
16.908330,99.370000,22900.990000,461.250000,2024/01/29 14:41:03,6,0.210100,2.167600,18.220000
17.187660,99.340000,22900.990000,462.100000,2024/01/29 14:42:29,6,0.382970,1.717840,18.400000
16.925660,99.330000,22900.990000,458.760000,2024/01/29 14:43:55,6,0.383000,1.551290,18.400000
17.030950,99.370000,21121.160000,453.450000,2024/01/29 14:47:18,8,0.310400,0.957030,18.720000
17.820050,99.370000,21121.160000,453.130000,2024/01/29 14:48:44,8,0.387000,0.838830,18.946670
17.762690,99.370000,21121.160000,453.720000,2024/01/29 14:50:10,8,0.387000,1.015150,19.100000
16.098930,99.360000,20906.720000,458.270000,2024/01/29 14:53:26,5,0.336420,1.419350,18.916670
16.377310,99.360000,20906.720000,458.090000,2024/01/29 14:54:51,5,0.366000,1.336970,18.733330
16.453730,99.350000,20906.720000,457.510000,2024/01/29 14:56:16,5,0.366000,1.181030,18.600000
17.473560,99.360000,18826.680000,447.160000,2024/01/29 15:05:40,OC1,0.349400,1.066090,17.500000
16.886950,99.380000,18826.680000,450.480000,2024/01/29 15:07:06,OC1,0.350000,0.394010,17.500000
16.851970,99.330000,18826.680000,451.130000,2024/01/29 15:08:31,OC1,0.350000,0.372470,17.300000
17.173590,99.340000,24187.610000,453.570000,2024/01/29 15:13:09,9,0.193450,0.950980,17.300000
17.266450,99.330000,24187.610000,453.970000,2024/01/29 15:14:35,9,0.226270,0.887240,17.268330
17.472220,99.340000,24187.610000,454.730000,2024/01/29 15:16:00,9,0.231930,0.832390,17.200000
18.383220,99.310000,20048.970000,461.080000,2024/01/29 15:19:22,OC2,0.266400,1.543450,17.230000
19.074700,99.330000,20048.970000,465.860000,2024/01/29 15:20:48,OC2,0.273200,1.553480,17.713330
19.095670,99.330000,20048.970000,462.740000,2024/01/29 15:22:14,OC2,0.277930,1.446780,18.190000
17.829950,99.360000,24123.280000,451.470000,2024/01/29 15:25:46,10,0.292930,0.536520,18.200000
17.313710,99.360000,24123.280000,451.790000,2024/01/29 15:27:11,10,0.296830,0.611600,18.016670
17.437030,99.350000,24123.280000,452.840000,2024/01/29 15:28:37,10,0.300000,0.521970,17.633330
17.831290,99.340000,23908.840000,451.160000,2024/01/29 15:31:43,4,0.150300,0.546050,17.500000
18.149080,99.340000,23908.840000,451.190000,2024/01/29 15:33:09,4,0.335770,0.585610,17.500000
17.843170,99.330000,23908.840000,452.050000,2024/01/29 15:34:34,4,0.336300,0.545090,17.500000
17.882490,99.330000,23844.510000,452.860000,2024/01/29 15:38:08,11,0.320670,0.703220,17.300000
16.681110,99.340000,23844.510000,452.640000,2024/01/29 15:39:34,11,0.371300,0.663150,17.140000
16.251770,99.330000,23844.510000,452.570000,2024/01/29 15:41:00,11,0.372000,0.639310,16.856670
15.736900,99.360000,23973.170000,453.830000,2024/01/29 15:44:25,12,0.375130,1.255620,16.220000
15.413030,99.350000,23973.170000,452.410000,2024/01/29 15:45:50,12,0.375430,0.835120,15.530000
15.984000,99.330000,23973.170000,453.040000,2024/01/29 15:47:17,12,0.375000,1.123420,15.000000
16.985830,99.360000,22686.550000,451.640000,2024/01/29 15:49:51,15,0.191920,0.537640,14.816670
16.697900,99.340000,22686.550000,451.500000,2024/01/29 15:51:16,15,0.332000,0.523510,15.000000
16.691250,99.350000,22686.550000,451.800000,2024/01/29 15:52:42,15,0.333870,0.480720,15.286670
16.333350,99.300000,20756.620000,458.770000,2024/01/29 15:57:50,3,0.120450,1.146490,15.865000
16.593880,99.300000,20756.620000,456.180000,2024/01/29 15:59:15,3,0.221950,1.306260,16.688330
16.868950,99.300000,20756.620000,456.550000,2024/01/29 16:00:40,3,0.226000,1.393420,17.120000
15.817190,99.300000,25345.570000,450.360000,2024/01/29 16:03:17,2,0.315000,0.488770,17.500000
15.342460,99.340000,25345.570000,450.640000,2024/01/29 16:04:42,2,0.318300,0.573290,17.026670
15.390900,99.340000,25345.570000,449.940000,2024/01/29 16:06:08,2,0.319130,0.409450,16.540000
