LI-8200,LI-8200,,LI-8200,CHAMBER,LI-870,LI-870,CHAMBER,CHAMBER,LI-8200
37.535950,99.170000,22343.450000,2024/02/06 12:51:46,0.232130,0.679740,0.734000,18.343100,18.456670,9
37.536960,99.170000,22343.450000,2024/02/06 12:53:13,0.235720,0.647830,0.743220,18.713680,18.600000,9
37.537950,99.160000,22343.450000,2024/02/06 12:54:39,0.238830,0.637130,0.791220,18.670040,18.400000,9
37.539500,99.170000,20627.950000,2024/02/06 12:56:53,0.247000,0.723600,0.797450,18.680580,18.360000,8
37.540500,99.170000,20627.950000,2024/02/06 12:58:19,0.379000,0.679540,0.700270,19.191750,18.766670,8
37.541490,99.160000,20627.950000,2024/02/06 12:59:45,0.378730,0.653590,0.653590,18.395030,18.953330,8
37.543230,99.170000,24552.150000,2024/02/06 13:02:15,0.232300,0.686620,0.689690,19.626450,18.946670,7
37.544210,99.170000,24552.150000,2024/02/06 13:03:40,0.306370,0.649830,0.649830,20.268280,19.100000,7
37.545220,99.180000,24552.150000,2024/02/06 13:05:07,0.309230,0.691480,0.792380,20.426540,19.100000,7
37.546710,99.180000,21978.910000,2024/02/06 13:07:16,0.301580,0.808710,0.862100,19.395980,19.100000,6
37.547700,99.180000,21978.910000,2024/02/06 13:08:41,0.385000,0.776910,0.935410,19.048080,19.300000,6
37.548690,99.170000,21978.910000,2024/02/06 13:10:07,0.385000,0.759350,0.846030,19.098530,19.426670,6
37.550340,99.160000,20199.080000,2024/02/06 13:12:29,0.361000,0.975560,0.975560,18.744540,19.100000,5
37.551330,99.150000,20199.080000,2024/02/06 13:13:55,0.362430,0.929080,0.948320,19.190640,19.386670,5
37.552310,99.150000,20199.080000,2024/02/06 13:15:20,0.363000,0.921190,0.936050,19.245000,19.500000,5
37.553690,99.140000,19834.540000,2024/02/06 13:17:19,0.346500,0.358640,0.364720,20.912450,19.700000,OC1
37.554690,99.150000,19834.540000,2024/02/06 13:18:45,0.343800,0.382930,0.389040,21.421860,19.193330,OC1
37.555680,99.150000,19834.540000,2024/02/06 13:20:11,0.346000,0.375080,0.435770,21.254880,18.690000,OC1
37.557150,99.160000,23630.070000,2024/02/06 13:22:18,0.347000,0.537580,0.537580,20.134240,18.563330,4
37.558150,99.160000,23630.070000,2024/02/06 13:23:44,0.349000,0.503650,0.503650,19.938920,18.800000,4
37.559130,99.160000,23630.070000,2024/02/06 13:25:09,0.349670,0.492830,0.557230,20.248460,18.866670,4
37.561120,99.160000,19984.640000,2024/02/06 13:28:01,0.218730,1.161510,1.245440,20.386940,19.113330,3
37.562110,99.140000,19984.640000,2024/02/06 13:29:26,0.220100,1.097740,1.097740,21.094240,19.680000,3
37.563100,99.160000,19984.640000,2024/02/06 13:30:52,0.220230,1.100680,1.100680,20.469740,20.053330,3
37.564500,99.150000,24402.050000,2024/02/06 13:32:53,0.369200,0.515040,0.527260,20.407720,20.340000,2
37.565500,99.130000,24402.050000,2024/02/06 13:34:19,0.371000,0.449410,0.595390,20.276140,19.766670,2
37.566490,99.130000,24402.050000,2024/02/06 13:35:45,0.371270,0.500640,0.624100,20.725010,19.246670,2
37.568110,99.150000,21700.140000,2024/02/06 13:38:05,0.197400,0.514960,0.596060,19.395030,19.100000,1
37.569110,99.150000,21700.140000,2024/02/06 13:39:31,0.330000,0.471820,0.471820,19.438630,19.300000,1
37.570090,99.140000,21700.140000,2024/02/06 13:40:56,0.330450,0.465750,0.465750,19.095210,19.300000,1
37.580950,99.130000,23973.170000,2024/02/06 13:56:34,0.292420,0.908320,0.908320,18.519020,18.200000,24
37.581930,99.130000,23973.170000,2024/02/06 13:57:59,0.298500,0.919190,0.980470,19.033600,18.200000,24
37.582930,99.130000,23973.170000,2024/02/06 13:59:25,0.301870,0.894050,0.894050,19.395980,18.200000,24
37.584590,99.130000,24616.480000,2024/02/06 14:01:49,0.367330,0.804310,0.884250,21.760670,18.566670,25
37.585590,99.120000,24616.480000,2024/02/06 14:03:15,0.368000,0.781510,0.885520,22.255610,19.050000,25
37.586570,99.110000,24616.480000,2024/02/06 14:04:40,0.369820,0.739540,0.746370,21.912810,19.573330,25
37.588100,99.160000,20842.390000,2024/02/06 14:06:52,0.360920,1.054340,1.191270,20.699040,20.253330,OC3
37.589090,99.160000,20842.390000,2024/02/06 14:08:17,0.363200,0.898840,1.062960,20.002280,20.660000,OC3
37.590080,99.130000,20842.390000,2024/02/06 14:09:43,0.364000,0.894430,0.997110,19.602670,20.700000,OC3
37.591860,99.130000,24187.610000,2024/02/06 14:12:17,0.194400,0.269910,0.336810,18.660620,20.500000,14
37.592850,99.130000,24187.610000,2024/02/06 14:13:42,0.243130,0.269870,0.358620,18.541800,20.213330,14
37.593840,99.130000,24187.610000,2024/02/06 14:15:08,0.242530,0.226720,0.281110,18.935970,19.900000,14
37.595440,99.120000,24766.590000,2024/02/06 14:17:26,0.339950,1.173250,1.203420,19.921140,19.890000,13
37.596420,99.120000,24766.590000,2024/02/06 14:18:51,0.344370,1.110610,1.157290,20.053820,20.446670,13
37.597420,99.090000,24766.590000,2024/02/06 14:20:17,0.345000,1.075120,1.075120,19.962320,20.700000,13
37.599190,99.140000,23415.630000,2024/02/06 14:22:50,0.356750,0.578160,0.690230,20.377060,20.630000,15
37.600190,99.140000,23415.630000,2024/02/06 14:24:16,0.361570,0.551760,0.610150,20.597720,20.500000,15
37.601170,99.110000,23415.630000,2024/02/06 14:25:41,0.363200,0.529740,0.728210,20.241820,20.300000,15
37.602570,99.090000,23329.860000,2024/02/06 14:27:42,0.365080,0.538170,0.638200,19.285620,20.256670,12
37.603580,99.110000,23329.860000,2024/02/06 14:29:09,0.369000,0.563710,0.563710,18.585050,20.100000,12
37.604570,99.120000,23329.860000,2024/02/06 14:30:35,0.369900,0.479450,0.649630,18.634390,19.880000,12
37.606400,99.100000,21978.910000,2024/02/06 14:33:13,0.215600,0.892210,0.892210,19.374200,19.500000,16
37.607410,99.100000,21978.910000,2024/02/06 14:34:40,0.298330,0.853500,0.930100,19.429130,19.700000,16
37.608390,99.090000,21978.910000,2024/02/06 14:36:05,0.301800,0.848180,0.848180,20.197810,19.700000,16
37.609940,99.090000,22257.680000,2024/02/06 14:38:19,0.255830,0.959540,0.997080,19.189370,19.900000,17
37.610930,99.100000,22257.680000,2024/02/06 14:39:44,0.309500,0.985620,1.068710,19.233220,20.100000,17
37.611920,99.090000,22257.680000,2024/02/06 14:41:10,0.311000,0.989430,1.050960,19.250590,20.100000,17
37.613430,99.070000,23694.400000,2024/02/06 14:43:20,0.330550,0.626620,0.626620,20.835540,20.100000,OC5
37.614410,99.070000,23694.400000,2024/02/06 14:44:45,0.332530,0.635060,0.645760,21.101270,19.646670,OC5
37.615410,99.080000,23694.400000,2024/02/06 14:46:11,0.332600,0.646610,0.748760,21.517350,19.500000,OC5
37.617030,99.090000,23694.400000,2024/02/06 14:48:31,0.282170,0.461820,0.579390,19.185440,19.293330,10
37.618030,99.090000,23694.400000,2024/02/06 14:49:58,0.286530,0.431070,0.463830,19.197180,19.006670,10
37.619020,99.080000,23694.400000,2024/02/06 14:51:23,0.286900,0.440160,0.568240,18.706690,18.810000,10
37.620890,99.070000,23115.420000,2024/02/06 14:54:05,0.218400,0.490420,0.502320,18.784800,18.480000,11
37.621890,99.080000,23115.420000,2024/02/06 14:55:31,0.365030,0.486670,0.574330,18.745000,18.196670,11
37.622880,99.080000,23115.420000,2024/02/06 14:56:57,0.367000,0.461530,0.572930,18.365000,18.000000,11
