CHAMBER,LI-8200,,LI-870,LI-8200,CHAMBER,LI-870,
16.46768,99.39,21828.8,458.92,18,0.368,1.60696,
16.4946,99.39,21828.8,458.16,18,0.368,1.43383,
17.7908,99.35,25409.9,452.97,7,0.2681,0.70764,
18.68326,99.36,25409.9,453.31,7,0.26952,0.75614,
17.94995,99.37,25409.9,452.9,7,0.27175,0.77455,
16.90833,99.37,22900.99,461.25,6,0.2101,2.1676,
17.18766,99.34,22900.99,462.1,6,0.38297,1.71784,
16.92566,99.33,22900.99,458.76,6,0.383,1.55129,
17.03095,99.37,21121.16,453.45,8,0.3104,0.95703,
17.82005,99.37,21121.16,453.13,8,0.387,0.83883,
17.76269,99.37,21121.16,453.72,8,0.387,1.01515,
16.09893,99.36,20906.72,458.27,5,0.33642,1.41935,
16.37731,99.36,20906.72,458.09,5,0.366,1.33697,
16.45373,99.35,20906.72,457.51,5,0.366,1.18103,
17.47356,99.36,18826.68,447.16,OC1,0.3494,1.06609,
16.88695,99.38,18826.68,450.48,OC1,0.35,0.39401,
16.85197,99.33,18826.68,451.13,OC1,0.35,0.37247,
17.17359,99.34,24187.61,453.57,9,0.19345,0.95098,
17.26645,99.33,24187.61,453.97,9,0.22627,0.88724,
17.47222,99.34,24187.61,454.73,9,0.23193,0.83239,
18.38322,99.31,20048.97,461.08,OC2,0.2664,1.54345,
19.0747,99.33,20048.97,465.86,OC2,0.2732,1.55348,
19.09567,99.33,20048.97,462.74,OC2,0.27793,1.44678,
17.82995,99.36,24123.28,451.47,10,0.29293,0.53652,
17.31371,99.36,24123.28,451.79,10,0.29683,0.6116,
17.43703,99.35,24123.28,452.84,10,0.3,0.52197,
17.83129,99.34,23908.84,451.16,4,0.1503,0.54605,
18.14908,99.34,23908.84,451.19,4,0.33577,0.58561,
17.84317,99.33,23908.84,452.05,4,0.3363,0.54509,
17.88249,99.33,23844.51,452.86,11,0.32067,0.70322,
16.68111,99.34,23844.51,452.64,11,0.3713,0.66315,
16.25177,99.33,23844.51,452.57,11,0.372,0.63931,
15.7369,99.36,23973.17,453.83,12,0.37513,1.25562,
15.41303,99.35,23973.17,452.41,12,0.37543,0.83512,
15.984,99.33,23973.17,453.04,12,0.375,1.12342,
16.98583,99.36,22686.55,451.64,15,0.19192,0.53764,
16.6979,99.34,22686.55,451.5,15,0.332,0.52351,
16.69125,99.35,22686.55,451.8,15,0.33387,0.48072,
16.33335,99.3,20756.62,458.77,3,0.12045,1.14649,
16.59388,99.3,20756.62,456.18,3,0.22195,1.30626,
16.86895,99.3,20756.62,456.55,3,0.226,1.39342,
15.81719,99.3,25345.57,450.36,2,0.315,0.48877,
15.34246,99.34,25345.57,450.64,2,0.3183,0.57329,
15.3909,99.34,25345.57,449.94,2,0.31913,0.40945,
